"Url delle immagini prodotto","Nome Prodotto",Descrizione,Colore,"url img texture"
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_05_zoom.jpg; ","
                FLAG 5145
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5144B-5145.png""><br>                        Flag è una collezione di appendiabiti frutto della sintesi di forma e funzione. Appendiabiti da terra con base e colonna in acciaio verniciato e bracci in polipropilene caricato con fibra di vetro. Risulta estremamente versatile grazie alla possibilità di variare a piacere la posizione dei 5 bracci, assicurando sempre la sua piena funzionalità e la libertà di creare geometrie nuove.",BE200,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-BE200.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_05_zoom.jpg; ","
                FLAG 5145
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5144B-5145.png""><br>                        Flag è una collezione di appendiabiti frutto della sintesi di forma e funzione. Appendiabiti da terra con base e colonna in acciaio verniciato e bracci in polipropilene caricato con fibra di vetro. Risulta estremamente versatile grazie alla possibilità di variare a piacere la posizione dei 5 bracci, assicurando sempre la sua piena funzionalità e la libertà di creare geometrie nuove.",AR400,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-AR400.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_05_zoom.jpg; ","
                FLAG 5145
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5144B-5145.png""><br>                        Flag è una collezione di appendiabiti frutto della sintesi di forma e funzione. Appendiabiti da terra con base e colonna in acciaio verniciato e bracci in polipropilene caricato con fibra di vetro. Risulta estremamente versatile grazie alla possibilità di variare a piacere la posizione dei 5 bracci, assicurando sempre la sua piena funzionalità e la libertà di creare geometrie nuove.",VE500,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-VE500.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/FLAG/5145/Flag_5145_05_zoom.jpg; ","
                FLAG 5145
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5144B-5145.png""><br>                        Flag è una collezione di appendiabiti frutto della sintesi di forma e funzione. Appendiabiti da terra con base e colonna in acciaio verniciato e bracci in polipropilene caricato con fibra di vetro. Risulta estremamente versatile grazie alla possibilità di variare a piacere la posizione dei 5 bracci, assicurando sempre la sua piena funzionalità e la libertà di creare geometrie nuove.",RA200,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-RA200.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila1_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila2_zoom.jpg; ","
                VOILA' 5130
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5130.png""><br>                        Il gesto che si compie nell’appendere un cappotto è semplice e immediato. Così è Voilà: un appendiabiti con base, colonna e bracci realizzati in acciaio inox satinato tagliato al laser. Caratteristici dischi in metacrilato trasparente sono fissati ai bracci rendendo questo oggetto estremamente funzionale.",TR,/export/sites/default/galleries/colori/PLASTICA/METACRILATO/ME_TR.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila1_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila2_zoom.jpg; ","
                VOILA' 5130
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5130.png""><br>                        Il gesto che si compie nell’appendere un cappotto è semplice e immediato. Così è Voilà: un appendiabiti con base, colonna e bracci realizzati in acciaio inox satinato tagliato al laser. Caratteristici dischi in metacrilato trasparente sono fissati ai bracci rendendo questo oggetto estremamente funzionale.",RT,/export/sites/default/galleries/colori/PLASTICA/POLICARBONATO/PC-RT.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila1_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/VOILA/5130/Voila2_zoom.jpg; ","
                VOILA' 5130
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/5130.png""><br>                        Il gesto che si compie nell’appendere un cappotto è semplice e immediato. Così è Voilà: un appendiabiti con base, colonna e bracci realizzati in acciaio inox satinato tagliato al laser. Caratteristici dischi in metacrilato trasparente sono fissati ai bracci rendendo questo oggetto estremamente funzionale.",AC,/export/sites/default/galleries/colori/METALLI/METALLI/METALLI-AC.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_10_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_11_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_12_zoom.jpg; ","
                BRIK BRIK
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Brik.png""><br>                        Brik è un portaombrelli colorato e divertente caratterizzato da un volume puro in polietilene con finitura opaca antigraffio, realizzato con stampaggio rotazionale. Dispone di 10 fori che possono contenere fino a 20 ombrelli. Un oggetto pratico per i giorni piovosi, un modulo d’arredo per tutte le altre giornate dell’anno. Impilabile.",BI,/export/sites/default/galleries/colori/PLASTICA/POLIPROPILENE/PPL-BI.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_10_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_11_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_12_zoom.jpg; ","
                BRIK BRIK
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Brik.png""><br>                        Brik è un portaombrelli colorato e divertente caratterizzato da un volume puro in polietilene con finitura opaca antigraffio, realizzato con stampaggio rotazionale. Dispone di 10 fori che possono contenere fino a 20 ombrelli. Un oggetto pratico per i giorni piovosi, un modulo d’arredo per tutte le altre giornate dell’anno. Impilabile.",GC,/export/sites/default/galleries/colori/PLASTICA/POLIPROPILENE/PPL-GC.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_10_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_11_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/BRIK/BRIK/Brik_Brik_12_zoom.jpg; ","
                BRIK BRIK
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Brik.png""><br>                        Brik è un portaombrelli colorato e divertente caratterizzato da un volume puro in polietilene con finitura opaca antigraffio, realizzato con stampaggio rotazionale. Dispone di 10 fori che possono contenere fino a 20 ombrelli. Un oggetto pratico per i giorni piovosi, un modulo d’arredo per tutte le altre giornate dell’anno. Impilabile.",GI,/export/sites/default/galleries/colori/PLASTICA/POLIPROPILENE/PPL-BRIK-GI.png
